### Protein	3DFI name	plDDT score	AlphaFold ranked name	AlphaFold unranked name
ECU01_0350	ECU01_0350-m1.pdb	72.39194447374005	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0350	ECU01_0350-m2.pdb	69.38002101415648	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0350	ECU01_0350-m3.pdb	68.21880259871963	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0350	ECU01_0350-m4.pdb	66.57056777420435	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0350	ECU01_0350-m5.pdb	64.93165725579706	ranked_4.pdb	unrelaxed_model_3.pdb
ECU01_0360	ECU01_0360-m1.pdb	88.03419900887543	ranked_0.pdb	unrelaxed_model_2.pdb
ECU01_0360	ECU01_0360-m2.pdb	87.8053587380714	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0360	ECU01_0360-m3.pdb	87.28533882420209	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0360	ECU01_0360-m4.pdb	86.74714009989097	ranked_3.pdb	unrelaxed_model_1.pdb
ECU01_0360	ECU01_0360-m5.pdb	85.88045160658656	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0370	ECU01_0370-m1.pdb	90.93685170484083	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0370	ECU01_0370-m2.pdb	90.78524700226275	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0370	ECU01_0370-m3.pdb	90.3013351795085	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0370	ECU01_0370-m4.pdb	90.1641238201121	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0370	ECU01_0370-m5.pdb	89.95812143455817	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0380	ECU01_0380-m1.pdb	93.2280871526184	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0380	ECU01_0380-m2.pdb	93.04904634318271	ranked_1.pdb	unrelaxed_model_2.pdb
ECU01_0380	ECU01_0380-m3.pdb	92.9479917086523	ranked_2.pdb	unrelaxed_model_4.pdb
ECU01_0380	ECU01_0380-m4.pdb	92.67491146324683	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0380	ECU01_0380-m5.pdb	92.56769628438667	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0390	ECU01_0390-m1.pdb	68.09786682997665	ranked_0.pdb	unrelaxed_model_4.pdb
ECU01_0390	ECU01_0390-m2.pdb	68.03049008238122	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0390	ECU01_0390-m3.pdb	60.758884860148235	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0390	ECU01_0390-m4.pdb	60.712808381263756	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0390	ECU01_0390-m5.pdb	60.64247931426276	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0400	ECU01_0400-m1.pdb	89.95637625489927	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0400	ECU01_0400-m2.pdb	89.4857117147181	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0400	ECU01_0400-m3.pdb	89.47961301356368	ranked_2.pdb	unrelaxed_model_2.pdb
ECU01_0400	ECU01_0400-m4.pdb	89.38690839057256	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0400	ECU01_0400-m5.pdb	88.10058413659198	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0410	ECU01_0410-m1.pdb	69.17180444443716	ranked_0.pdb	unrelaxed_model_5.pdb
ECU01_0410	ECU01_0410-m2.pdb	69.0853294286877	ranked_1.pdb	unrelaxed_model_1.pdb
ECU01_0410	ECU01_0410-m3.pdb	67.6226111044173	ranked_2.pdb	unrelaxed_model_3.pdb
ECU01_0410	ECU01_0410-m4.pdb	67.43535686396336	ranked_3.pdb	unrelaxed_model_4.pdb
ECU01_0410	ECU01_0410-m5.pdb	67.18722804213904	ranked_4.pdb	unrelaxed_model_2.pdb
ECU01_0420	ECU01_0420-m1.pdb	89.85718410811658	ranked_0.pdb	unrelaxed_model_1.pdb
ECU01_0420	ECU01_0420-m2.pdb	88.51430592865782	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0420	ECU01_0420-m3.pdb	87.79899629469872	ranked_2.pdb	unrelaxed_model_3.pdb
ECU01_0420	ECU01_0420-m4.pdb	87.74116411617352	ranked_3.pdb	unrelaxed_model_2.pdb
ECU01_0420	ECU01_0420-m5.pdb	87.39936512741623	ranked_4.pdb	unrelaxed_model_5.pdb
ECU01_0430	ECU01_0430-m1.pdb	83.23226399992483	ranked_0.pdb	unrelaxed_model_2.pdb
ECU01_0430	ECU01_0430-m2.pdb	83.15381526953655	ranked_1.pdb	unrelaxed_model_3.pdb
ECU01_0430	ECU01_0430-m3.pdb	82.35674532112871	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0430	ECU01_0430-m4.pdb	81.41213795122745	ranked_3.pdb	unrelaxed_model_5.pdb
ECU01_0430	ECU01_0430-m5.pdb	81.36157854651813	ranked_4.pdb	unrelaxed_model_4.pdb
ECU01_0440	ECU01_0440-m1.pdb	64.57940290703716	ranked_0.pdb	unrelaxed_model_2.pdb
ECU01_0440	ECU01_0440-m2.pdb	64.44282894470649	ranked_1.pdb	unrelaxed_model_4.pdb
ECU01_0440	ECU01_0440-m3.pdb	64.38073814838886	ranked_2.pdb	unrelaxed_model_1.pdb
ECU01_0440	ECU01_0440-m4.pdb	64.07363122099046	ranked_3.pdb	unrelaxed_model_3.pdb
ECU01_0440	ECU01_0440-m5.pdb	62.33172089886575	ranked_4.pdb	unrelaxed_model_5.pdb
